Time,Column1,Column2,Column3,Label
2024-12-26 07:26:55,27.0,104.06,7.0,AsleepCore
2024-12-26 07:27:00,26.97,104.25,7.0,AsleepCore
2024-12-26 07:27:05,27.0,104.12,7.0,AsleepCore
2024-12-26 07:27:10,27.0,104.12,6.0,AsleepCore
2024-12-26 07:27:15,27.03,104.19,6.0,AsleepCore
2024-12-26 07:27:21,27.0,104.19,7.0,AsleepCore
2024-12-26 07:27:26,27.03,104.19,7.0,AsleepCore
2024-12-26 07:27:31,27.0,104.19,7.0,AsleepCore
2024-12-26 07:27:36,26.97,104.12,7.0,AsleepCore
2024-12-26 07:27:41,27.0,104.19,7.0,AsleepCore
2024-12-26 07:27:46,26.97,104.06,7.0,AsleepCore
2024-12-26 07:27:51,26.97,103.87,7.0,AsleepCore
2024-12-26 07:27:56,26.97,103.69,6.0,AsleepCore
2024-12-26 07:28:01,26.94,103.56,7.0,AsleepCore
2024-12-26 07:28:06,26.97,103.37,7.0,AsleepCore
2024-12-26 07:28:11,26.97,103.19,7.0,AsleepCore
2024-12-26 07:28:16,26.97,103.19,7.0,AsleepCore
2024-12-26 07:28:21,26.97,103.19,7.0,AsleepCore
2024-12-26 07:28:26,26.97,103.12,7.0,AsleepCore
2024-12-26 07:28:31,26.94,103.06,8.0,AsleepCore
2024-12-26 07:28:36,26.97,103.06,7.0,AsleepCore
2024-12-26 07:28:42,26.97,103.0,6.0,AsleepCore
2024-12-26 07:28:47,26.94,102.69,7.0,AsleepCore
2024-12-26 07:28:52,26.97,102.56,7.0,AsleepCore
2024-12-26 07:28:57,26.94,102.31,7.0,AsleepCore
2024-12-26 07:29:02,26.97,102.25,8.0,AsleepCore
2024-12-26 07:29:07,26.94,102.56,7.0,AsleepCore
2024-12-26 07:29:12,26.97,102.56,6.0,AsleepCore
2024-12-26 07:29:17,26.94,102.62,7.0,AsleepCore
2024-12-26 07:29:22,27.0,102.62,7.0,AsleepCore
2024-12-26 07:29:27,26.97,102.62,7.0,AsleepCore
2024-12-26 07:29:32,27.0,102.75,7.0,AsleepCore
2024-12-26 07:29:37,26.97,102.81,7.0,AsleepCore
2024-12-26 07:29:42,27.0,102.69,8.0,AsleepCore
2024-12-26 07:29:47,27.0,102.75,7.0,AsleepCore
2024-12-26 07:29:52,27.03,102.75,8.0,AsleepCore
2024-12-26 07:29:57,27.0,102.69,6.0,AsleepCore
2024-12-26 07:30:02,27.0,102.56,8.0,AsleepCore
2024-12-26 07:30:07,27.0,102.44,7.0,AsleepCore
2024-12-26 07:30:12,27.03,102.44,7.0,AsleepCore
2024-12-26 07:30:17,27.0,102.44,8.0,AsleepCore
2024-12-26 07:30:22,27.0,102.5,7.0,AsleepCore
2024-12-26 07:30:27,27.0,102.37,6.0,AsleepCore
2024-12-26 07:30:32,27.03,102.5,7.0,AsleepCore
2024-12-26 07:30:38,27.0,102.5,7.0,AsleepCore
2024-12-26 07:30:43,27.0,102.75,7.0,AsleepCore
2024-12-26 07:30:47,27.03,102.69,7.0,AsleepCore
2024-12-26 07:30:53,27.03,102.69,7.0,AsleepCore
2024-12-26 07:30:58,27.03,102.5,7.0,AsleepCore
2024-12-26 07:31:03,27.0,102.44,8.0,AsleepCore
2024-12-26 07:31:09,27.03,102.37,8.0,AsleepCore
2024-12-26 07:31:14,27.0,102.44,7.0,AsleepCore
2024-12-26 07:31:19,27.03,102.56,7.0,AsleepCore
2024-12-26 07:31:24,27.03,102.37,8.0,AsleepCore
2024-12-26 07:31:29,27.03,102.25,7.0,AsleepCore
2024-12-26 07:31:34,27.03,102.19,7.0,AsleepCore
2024-12-26 07:31:39,27.03,102.06,7.0,AsleepCore
2024-12-26 07:31:44,27.03,101.87,7.0,AsleepCore
2024-12-26 07:31:49,27.06,101.75,8.0,AsleepCore
2024-12-26 07:31:54,27.03,101.81,7.0,AsleepCore
2024-12-26 07:31:59,27.06,101.87,8.0,AsleepCore
2024-12-26 07:32:05,27.06,101.94,7.0,AsleepCore
2024-12-26 07:32:09,27.0,101.94,8.0,AsleepCore
2024-12-26 07:32:14,27.03,102.0,7.0,AsleepCore
2024-12-26 07:32:20,27.03,102.0,7.0,AsleepCore
2024-12-26 07:32:25,27.06,102.06,7.0,AsleepCore
2024-12-26 07:32:30,27.06,102.0,8.0,AsleepCore
2024-12-26 07:32:35,27.06,101.87,8.0,AsleepCore
2024-12-26 07:32:40,27.03,101.81,8.0,AsleepCore
2024-12-26 07:32:45,27.03,101.62,8.0,AsleepCore
2024-12-26 07:32:50,27.03,101.62,8.0,AsleepCore
2024-12-26 07:32:55,27.06,101.69,7.0,AsleepCore
2024-12-26 07:33:00,27.03,101.75,7.0,AsleepCore
2024-12-26 07:33:05,27.03,101.62,7.0,AsleepCore
2024-12-26 07:33:10,27.03,101.56,6.0,AsleepCore
2024-12-26 07:33:15,27.06,101.56,7.0,AsleepCore
2024-12-26 07:33:20,27.06,101.5,7.0,AsleepCore
2024-12-26 07:33:25,27.06,101.5,7.0,AsleepCore
2024-12-26 07:33:31,27.06,101.69,7.0,AsleepCore
2024-12-26 07:33:35,27.03,101.37,7.0,AsleepCore
2024-12-26 07:33:40,27.03,101.44,8.0,AsleepCore
2024-12-26 07:33:45,27.03,101.25,7.0,AsleepCore
2024-12-26 07:33:50,27.06,101.44,7.0,AsleepCore
2024-12-26 07:33:56,27.06,101.44,7.0,AsleepCore
2024-12-26 07:34:01,27.09,101.5,7.0,AsleepCore
2024-12-26 07:34:06,27.03,101.5,8.0,AsleepCore
2024-12-26 07:34:11,27.09,101.56,8.0,AsleepCore
2024-12-26 07:34:16,27.09,101.62,8.0,AsleepCore
2024-12-26 07:34:21,27.06,101.56,8.0,AsleepCore
2024-12-26 07:34:26,27.06,101.56,8.0,AsleepCore
2024-12-26 07:34:31,27.06,101.31,8.0,AsleepCore
2024-12-26 07:34:36,27.06,101.44,8.0,AsleepCore
2024-12-26 07:34:41,27.06,101.69,7.0,AsleepCore
2024-12-26 07:34:46,27.06,102.0,7.0,AsleepCore
2024-12-26 07:34:51,27.06,102.0,7.0,AsleepCore
2024-12-26 07:34:56,27.06,102.06,7.0,AsleepCore
2024-12-26 07:35:01,27.06,102.25,9.0,AsleepCore
2024-12-26 07:35:07,27.06,102.37,8.0,AsleepCore
2024-12-26 07:35:12,27.06,102.37,8.0,AsleepCore
2024-12-26 07:35:17,27.06,102.25,7.0,AsleepCore
2024-12-26 07:35:22,27.06,102.25,8.0,AsleepCore
2024-12-26 07:35:27,27.06,102.25,8.0,AsleepCore
2024-12-26 07:35:32,27.09,102.31,7.0,AsleepCore
2024-12-26 07:35:37,27.09,102.12,8.0,AsleepCore
2024-12-26 07:35:42,27.06,101.94,7.0,AsleepCore
2024-12-26 07:35:47,27.06,101.69,8.0,AsleepCore
2024-12-26 07:35:52,27.09,101.44,7.0,AsleepCore
2024-12-26 07:35:57,27.06,101.37,8.0,AsleepCore
2024-12-26 07:36:02,27.06,101.0,8.0,AsleepCore
2024-12-26 07:36:07,27.06,101.12,7.0,AsleepCore
2024-12-26 07:36:12,27.06,101.0,7.0,AsleepCore
2024-12-26 07:36:17,27.06,100.81,8.0,AsleepCore
2024-12-26 07:36:22,27.09,100.75,7.0,AsleepCore
2024-12-26 07:36:27,27.09,100.75,8.0,AsleepCore
2024-12-26 07:36:32,27.09,100.62,7.0,AsleepCore
2024-12-26 07:36:37,27.09,100.5,7.0,AsleepCore
2024-12-26 07:36:43,27.09,100.5,8.0,AsleepCore
2024-12-26 07:36:48,27.06,100.62,8.0,AsleepCore
2024-12-26 07:36:53,27.09,100.44,7.0,AsleepCore
2024-12-26 07:36:57,27.03,100.31,7.0,AsleepCore
2024-12-26 07:37:03,27.06,100.25,8.0,AsleepCore
2024-12-26 07:37:08,27.09,100.31,8.0,AsleepCore
2024-12-26 07:37:13,27.06,100.5,8.0,AsleepCore
2024-12-26 07:37:18,27.06,100.37,8.0,AsleepCore
2024-12-26 07:37:23,27.09,100.25,7.0,AsleepCore
2024-12-26 07:37:28,27.06,100.31,7.0,AsleepCore
2024-12-26 07:37:33,27.09,100.25,7.0,AsleepCore
2024-12-26 07:37:38,27.03,100.19,7.0,AsleepCore
2024-12-26 07:37:43,27.09,100.31,8.0,AsleepCore
2024-12-26 07:37:48,27.12,100.25,7.0,AsleepCore
2024-12-26 07:37:53,27.06,100.5,7.0,AsleepCore
2024-12-26 07:37:58,27.09,100.5,8.0,AsleepCore
2024-12-26 07:38:03,27.09,100.44,8.0,AsleepCore
2024-12-26 07:38:08,27.09,100.44,7.0,AsleepCore
2024-12-26 07:38:13,27.09,100.37,8.0,AsleepCore
2024-12-26 07:38:19,27.12,100.44,7.0,AsleepCore
2024-12-26 07:38:24,27.09,100.37,8.0,AsleepCore
2024-12-26 07:38:29,27.12,100.31,7.0,AsleepCore
2024-12-26 07:38:34,27.09,100.37,8.0,AsleepCore
2024-12-26 07:38:39,27.09,100.5,7.0,AsleepCore
2024-12-26 07:38:44,27.12,100.37,9.0,AsleepCore
2024-12-26 07:38:49,27.12,100.44,7.0,AsleepCore
2024-12-26 07:38:54,27.12,100.62,8.0,AsleepCore
2024-12-26 07:38:59,27.09,100.94,8.0,AsleepCore
2024-12-26 07:39:04,27.16,100.94,8.0,AsleepCore
2024-12-26 07:39:09,27.16,100.87,8.0,AsleepCore
2024-12-26 07:39:14,27.12,100.81,8.0,AsleepCore
2024-12-26 07:39:19,27.16,100.62,8.0,AsleepCore
2024-12-26 07:39:24,27.12,100.75,7.0,AsleepCore
2024-12-26 07:39:29,27.12,100.69,7.0,AsleepCore
2024-12-26 07:39:34,27.12,101.0,7.0,AsleepCore
2024-12-26 07:39:39,27.19,100.81,8.0,AsleepCore
2024-12-26 07:39:44,27.16,100.81,7.0,AsleepCore
2024-12-26 07:39:49,27.22,100.81,7.0,AsleepCore
2024-12-26 07:39:55,27.16,100.94,8.0,AsleepCore
